student_id,gender,average_score,attendance_percentage,study_hours_per_week,test_preparation,low_score_flag,low_attendance_flag,low_study_hours_flag,risk_level
S1125,female,55.0,70.8,4.5,completed,False,True,False,No Risk Indicated
S1126,male,40.1,86.1,3.9,none,False,False,False,No Risk Indicated
S1127,female,51.5,87.8,3.0,none,False,False,False,No Risk Indicated
S1128,female,45.0,82.9,4.2,none,False,False,False,No Risk Indicated
S1129,female,65.2,84.2,9.5,none,False,False,False,No Risk Indicated
S1130,female,50.6,79.4,5.7,none,False,False,False,No Risk Indicated
S1131,female,63.0,96.8,6.1,none,False,False,False,No Risk Indicated
S1132,male,50.7,73.0,5.7,completed,False,True,False,No Risk Indicated
S1133,female,42.5,76.1,7.0,none,False,False,False,No Risk Indicated
S1134,female,53.9,82.1,3.6,none,False,False,False,No Risk Indicated
S1135,male,46.9,90.8,0.0,none,False,False,True,No Risk Indicated
S1136,female,45.7,67.0,3.6,none,False,True,False,No Risk Indicated
S1137,male,37.4,68.9,5.6,none,True,True,False,Medium Risk
S1138,male,21.2,61.6,2.1,none,True,True,True,High Risk
S1139,male,47.8,82.3,3.6,completed,False,False,False,No Risk Indicated
S1140,female,34.0,70.8,2.6,none,True,True,True,High Risk
S1141,male,65.7,78.2,7.0,completed,False,False,False,No Risk Indicated
S1142,male,56.9,88.6,5.5,none,False,False,False,No Risk Indicated
S1143,male,47.0,75.6,5.3,none,False,False,False,No Risk Indicated
S1144,female,62.5,84.3,5.2,completed,False,False,False,No Risk Indicated
S1145,female,59.6,79.0,3.9,completed,False,False,False,No Risk Indicated
S1146,male,47.3,88.7,4.4,none,False,False,False,No Risk Indicated
S1147,male,33.8,86.8,1.6,none,True,False,True,Medium Risk
S1148,female,34.3,75.1,0.0,none,True,False,True,Medium Risk
S1149,male,45.9,80.3,4.3,none,False,False,False,No Risk Indicated
S1150,female,51.7,92.4,4.6,none,False,False,False,No Risk Indicated
S1151,male,48.7,85.9,6.4,none,False,False,False,No Risk Indicated
S1152,female,45.5,68.0,7.1,none,False,True,False,No Risk Indicated
S1153,male,46.3,88.6,7.1,none,False,False,False,No Risk Indicated
S1154,male,45.7,71.2,2.0,completed,False,True,True,No Risk Indicated
S1155,female,50.5,96.1,3.3,completed,False,False,False,No Risk Indicated
S1156,male,71.0,92.2,5.0,none,False,False,False,No Risk Indicated
S1157,female,47.7,84.9,9.1,none,False,False,False,No Risk Indicated
S1158,female,42.8,83.6,7.0,none,False,False,False,No Risk Indicated
S1159,female,54.3,79.9,6.2,none,False,False,False,No Risk Indicated
S1160,female,64.4,88.8,3.2,completed,False,False,False,No Risk Indicated
S1161,female,47.2,78.3,2.2,completed,False,False,True,No Risk Indicated
S1162,male,62.8,84.4,5.6,completed,False,False,False,No Risk Indicated
S1163,male,35.8,90.7,1.8,completed,True,False,True,Medium Risk
S1164,male,40.3,76.4,3.5,completed,False,False,False,No Risk Indicated
S1165,female,36.9,75.8,3.8,completed,True,False,False,Watch
S1166,male,37.3,70.1,7.2,none,True,True,False,Medium Risk
S1167,male,40.0,71.4,3.3,none,False,True,False,No Risk Indicated
S1168,male,9.3,63.7,0.0,none,True,True,True,High Risk
S1169,male,39.0,89.3,5.0,none,True,False,False,Watch
S1170,male,45.7,100.0,2.6,none,False,False,True,No Risk Indicated
S1171,male,49.9,96.3,4.1,completed,False,False,False,No Risk Indicated
S1172,female,39.2,65.7,3.8,none,True,True,False,Medium Risk
S1173,female,52.7,89.2,3.5,none,False,False,False,No Risk Indicated
S1174,female,65.3,96.2,5.6,none,False,False,False,No Risk Indicated
S1175,male,45.9,77.4,0.9,none,False,False,True,No Risk Indicated
S1176,female,51.1,83.0,3.0,none,False,False,False,No Risk Indicated
S1177,male,47.9,61.9,5.4,completed,False,True,False,No Risk Indicated
S1178,female,45.1,84.7,2.8,none,False,False,True,No Risk Indicated
S1179,female,41.8,71.4,0.8,completed,False,True,True,No Risk Indicated
S1180,female,49.5,84.0,5.3,none,False,False,False,No Risk Indicated
S1181,male,37.0,66.4,6.2,none,True,True,False,Medium Risk
S1182,male,46.9,87.4,3.9,none,False,False,False,No Risk Indicated
S1183,female,39.4,92.2,0.1,completed,True,False,True,Medium Risk
S1184,male,53.0,74.2,5.4,completed,False,True,False,No Risk Indicated
S1185,male,24.2,70.6,0.7,none,True,True,True,High Risk
S1186,male,36.5,60.4,4.6,completed,True,True,False,Medium Risk
S1187,male,36.7,79.3,2.2,none,True,False,True,Medium Risk
S1188,male,35.0,76.2,1.7,completed,True,False,True,Medium Risk
S1189,male,38.6,66.5,3.1,none,True,True,False,Medium Risk
S1190,female,49.6,86.5,3.6,none,False,False,False,No Risk Indicated
S1191,female,37.0,77.5,2.7,completed,True,False,True,Medium Risk
S1192,female,47.3,71.2,5.2,none,False,True,False,No Risk Indicated
S1193,male,39.9,76.5,3.1,none,True,False,False,Watch
S1194,female,48.7,92.7,6.0,none,False,False,False,No Risk Indicated
S1195,male,51.7,81.7,4.6,none,False,False,False,No Risk Indicated
S1196,male,48.6,80.7,2.6,completed,False,False,True,No Risk Indicated
S1197,male,43.7,88.2,2.3,completed,False,False,True,No Risk Indicated
S1198,male,44.5,70.4,0.7,completed,False,True,True,No Risk Indicated
S1199,female,52.6,82.3,4.6,none,False,False,False,No Risk Indicated
S1200,male,45.4,83.5,3.3,none,False,False,False,No Risk Indicated
S1201,female,25.9,77.3,0.0,none,True,False,True,Medium Risk
S1202,male,42.2,86.4,2.9,none,False,False,True,No Risk Indicated
S1203,female,35.1,81.7,2.2,none,True,False,True,Medium Risk
S1204,male,75.5,87.1,7.2,completed,False,False,False,No Risk Indicated
S1205,male,47.9,87.5,0.6,completed,False,False,True,No Risk Indicated
S1206,female,15.7,52.8,1.1,completed,True,True,True,High Risk
S1207,female,53.3,93.9,6.2,none,False,False,False,No Risk Indicated
S1208,male,49.1,51.5,6.7,none,False,True,False,No Risk Indicated
S1209,female,51.5,75.8,2.5,none,False,False,True,No Risk Indicated
S1210,male,58.6,92.3,2.7,none,False,False,True,No Risk Indicated
S1211,female,42.9,78.8,5.2,none,False,False,False,No Risk Indicated
S1212,female,40.7,67.3,0.0,none,False,True,True,No Risk Indicated
S1213,male,30.4,71.1,0.3,none,True,True,True,High Risk
S1214,female,56.9,92.3,3.4,completed,False,False,False,No Risk Indicated
S1215,male,34.1,62.8,7.1,none,True,True,False,Medium Risk
S1216,male,50.3,93.3,3.1,completed,False,False,False,No Risk Indicated
S1217,male,45.4,81.4,4.2,none,False,False,False,No Risk Indicated
S1218,male,54.4,70.1,6.3,none,False,True,False,No Risk Indicated
S1219,female,61.5,76.2,8.2,none,False,False,False,No Risk Indicated
S1220,male,35.7,71.8,2.8,none,True,True,True,High Risk
S1221,male,41.9,90.7,4.0,none,False,False,False,No Risk Indicated
S1222,female,54.1,89.3,7.6,none,False,False,False,No Risk Indicated
S1223,male,29.2,64.8,1.0,completed,True,True,True,High Risk
S1224,female,55.9,78.0,6.1,none,False,False,False,No Risk Indicated
S1225,male,45.8,73.4,2.0,none,False,True,True,No Risk Indicated
S1226,female,61.5,94.9,4.2,none,False,False,False,No Risk Indicated
S1227,female,35.0,68.5,3.5,none,True,True,False,Medium Risk
S1228,female,34.0,98.0,2.1,none,True,False,True,Medium Risk
S1229,male,30.5,81.7,2.0,none,True,False,True,Medium Risk
S1230,male,60.9,70.4,4.6,completed,False,True,False,No Risk Indicated
S1231,female,50.2,75.2,6.0,completed,False,False,False,No Risk Indicated
S1232,male,48.6,74.0,3.7,completed,False,True,False,No Risk Indicated
S1233,female,55.5,69.3,4.1,none,False,True,False,No Risk Indicated
S1234,male,53.4,82.9,5.1,none,False,False,False,No Risk Indicated
S1235,female,42.0,69.7,2.1,completed,False,True,True,No Risk Indicated
S1236,female,36.4,60.2,5.5,none,True,True,False,Medium Risk
S1237,male,52.0,78.2,5.6,none,False,False,False,No Risk Indicated
S1238,male,49.2,64.0,9.2,none,False,True,False,No Risk Indicated
S1239,female,60.4,74.5,3.2,completed,False,True,False,No Risk Indicated
S1240,male,41.1,72.9,3.1,none,False,True,False,No Risk Indicated
S1241,female,57.9,73.3,5.5,completed,False,True,False,No Risk Indicated
S1242,male,72.2,100.0,5.6,completed,False,False,False,No Risk Indicated
S1243,female,30.2,82.6,2.9,none,True,False,True,Medium Risk
S1244,female,61.8,84.5,3.2,completed,False,False,False,No Risk Indicated
S1245,male,40.5,64.2,5.1,none,False,True,False,No Risk Indicated
S1246,female,23.7,75.5,2.3,none,True,False,True,Medium Risk
S1247,male,35.4,84.2,3.2,none,True,False,False,Watch
S1248,female,42.4,71.8,4.2,completed,False,True,False,No Risk Indicated
S1249,male,55.2,91.1,6.0,none,False,False,False,No Risk Indicated
S1250,male,37.2,70.0,2.8,none,True,True,True,High Risk
S1251,male,33.4,79.1,0.3,none,True,False,True,Medium Risk
S1252,male,46.7,76.1,0.2,none,False,False,True,No Risk Indicated
S1253,male,35.9,83.6,1.5,none,True,False,True,Medium Risk
S1254,female,35.3,75.6,1.4,none,True,False,True,Medium Risk
S1255,male,46.8,79.3,3.7,none,False,False,False,No Risk Indicated
S1256,female,36.4,79.6,1.6,completed,True,False,True,Medium Risk
S1257,male,41.9,74.7,2.6,none,False,True,True,No Risk Indicated
S1258,male,44.6,86.9,2.5,completed,False,False,True,No Risk Indicated
S1259,female,53.2,84.4,3.1,none,False,False,False,No Risk Indicated
S1260,female,49.8,81.1,6.6,completed,False,False,False,No Risk Indicated
S1261,male,65.7,77.7,5.3,none,False,False,False,No Risk Indicated
S1262,male,48.1,90.0,4.0,none,False,False,False,No Risk Indicated
S1263,female,50.4,79.6,3.1,completed,False,False,False,No Risk Indicated
S1264,female,39.8,78.9,3.1,none,True,False,False,Watch
S1265,female,53.4,83.0,4.7,none,False,False,False,No Risk Indicated
S1266,male,65.0,99.0,5.2,completed,False,False,False,No Risk Indicated
S1267,male,38.0,68.6,2.2,completed,True,True,True,High Risk
S1268,female,54.1,89.7,4.1,none,False,False,False,No Risk Indicated
S1269,female,20.8,63.1,0.0,none,True,True,True,High Risk
S1270,male,52.9,84.2,4.4,completed,False,False,False,No Risk Indicated
S1271,male,64.4,97.8,5.5,completed,False,False,False,No Risk Indicated
S1272,male,68.9,86.9,3.4,completed,False,False,False,No Risk Indicated
S1273,female,54.2,83.7,7.6,none,False,False,False,No Risk Indicated
S1274,male,55.8,76.4,2.2,completed,False,False,True,No Risk Indicated
S1275,male,48.0,82.3,4.4,none,False,False,False,No Risk Indicated
S1276,male,53.9,79.5,3.9,completed,False,False,False,No Risk Indicated
S1277,female,34.4,74.1,3.8,none,True,True,False,Medium Risk
S1278,male,48.4,79.1,3.8,completed,False,False,False,No Risk Indicated
S1279,male,51.2,84.0,4.2,none,False,False,False,No Risk Indicated
S1280,male,56.5,74.3,5.7,none,False,True,False,No Risk Indicated
S1281,male,60.9,73.9,6.8,completed,False,True,False,No Risk Indicated
S1282,female,46.6,68.4,4.0,none,False,True,False,No Risk Indicated
S1283,male,63.0,85.9,5.6,completed,False,False,False,No Risk Indicated
S1284,male,50.4,87.5,2.6,none,False,False,True,No Risk Indicated
S1285,female,55.5,84.3,5.5,completed,False,False,False,No Risk Indicated
S1286,male,57.8,91.7,2.5,none,False,False,True,No Risk Indicated
S1287,female,51.7,82.9,6.2,none,False,False,False,No Risk Indicated
S1288,female,49.4,85.9,8.4,none,False,False,False,No Risk Indicated
S1289,male,42.0,85.0,3.8,none,False,False,False,No Risk Indicated
S1290,female,46.9,81.1,0.0,none,False,False,True,No Risk Indicated
S1291,male,52.4,76.7,2.9,completed,False,False,True,No Risk Indicated
S1292,female,63.1,100.0,6.5,completed,False,False,False,No Risk Indicated
S1293,male,59.4,77.5,5.1,completed,False,False,False,No Risk Indicated
S1294,female,54.5,75.3,4.5,none,False,False,False,No Risk Indicated
S1295,female,57.9,86.3,6.0,none,False,False,False,No Risk Indicated
S1296,female,43.2,84.5,5.0,none,False,False,False,No Risk Indicated
S1297,male,51.9,68.0,6.4,completed,False,True,False,No Risk Indicated
S1298,male,64.7,93.2,5.8,completed,False,False,False,No Risk Indicated
S1299,male,41.6,81.1,7.0,none,False,False,False,No Risk Indicated
S1300,male,56.8,70.9,4.7,completed,False,True,False,No Risk Indicated
S1301,female,52.2,93.9,5.8,none,False,False,False,No Risk Indicated
S1302,male,53.3,88.3,3.4,none,False,False,False,No Risk Indicated
S1303,female,53.6,69.4,2.8,none,False,True,True,No Risk Indicated
S1304,female,58.0,99.8,7.4,none,False,False,False,No Risk Indicated
S1305,male,55.5,88.6,4.4,completed,False,False,False,No Risk Indicated
S1306,male,60.1,81.9,5.6,completed,False,False,False,No Risk Indicated
S1307,female,60.9,97.9,4.2,none,False,False,False,No Risk Indicated
S1308,male,41.4,83.6,2.8,none,False,False,True,No Risk Indicated
S1309,male,52.6,81.7,4.0,completed,False,False,False,No Risk Indicated
S1310,female,64.1,75.4,6.9,completed,False,False,False,No Risk Indicated
S1311,female,52.9,87.8,5.1,none,False,False,False,No Risk Indicated
S1312,male,24.0,86.8,0.6,none,True,False,True,Medium Risk
S1313,male,33.7,82.1,3.6,none,True,False,False,Watch
S1314,male,61.0,74.1,7.6,none,False,True,False,No Risk Indicated
S1315,female,52.3,83.3,3.6,completed,False,False,False,No Risk Indicated
S1316,female,27.2,81.3,0.4,none,True,False,True,Medium Risk
S1317,female,54.7,68.7,7.8,completed,False,True,False,No Risk Indicated
S1318,female,42.5,67.3,5.4,none,False,True,False,No Risk Indicated
S1319,female,52.1,87.7,3.9,none,False,False,False,No Risk Indicated
S1320,male,31.1,56.0,3.3,completed,True,True,False,Medium Risk
S1321,male,43.3,84.1,6.2,none,False,False,False,No Risk Indicated
S1322,female,45.8,77.2,2.9,none,False,False,True,No Risk Indicated
S1323,female,64.7,95.1,6.3,completed,False,False,False,No Risk Indicated
S1324,female,56.9,77.1,5.1,completed,False,False,False,No Risk Indicated
S1325,male,48.8,88.6,4.5,none,False,False,False,No Risk Indicated
S1326,male,45.3,78.0,4.3,none,False,False,False,No Risk Indicated
S1327,male,50.9,83.1,3.7,none,False,False,False,No Risk Indicated
S1328,male,55.0,89.4,6.1,none,False,False,False,No Risk Indicated
S1329,female,43.3,77.4,2.3,none,False,False,True,No Risk Indicated
S1330,female,40.5,92.0,0.8,none,False,False,True,No Risk Indicated
S1331,male,45.4,72.1,5.2,completed,False,True,False,No Risk Indicated
S1332,male,56.8,84.9,5.3,completed,False,False,False,No Risk Indicated
S1333,female,69.7,91.2,5.0,completed,False,False,False,No Risk Indicated
S1334,male,58.2,88.6,4.8,completed,False,False,False,No Risk Indicated
S1335,female,49.1,100.0,3.4,completed,False,False,False,No Risk Indicated
S1336,female,47.5,74.4,5.6,completed,False,True,False,No Risk Indicated
S1337,male,47.3,68.2,3.9,completed,False,True,False,No Risk Indicated
S1338,male,36.0,72.1,3.0,none,True,True,False,Medium Risk
S1339,female,48.5,88.6,3.4,none,False,False,False,No Risk Indicated
S1340,female,64.6,87.0,8.0,none,False,False,False,No Risk Indicated
S1341,male,49.3,83.0,0.5,completed,False,False,True,No Risk Indicated
S1342,female,51.2,70.8,5.0,none,False,True,False,No Risk Indicated
S1343,female,49.3,89.7,0.6,none,False,False,True,No Risk Indicated
S1344,female,30.1,69.8,3.8,none,True,True,False,Medium Risk
S1345,male,43.4,93.6,3.1,none,False,False,False,No Risk Indicated
S1346,female,40.4,100.0,0.0,none,False,False,True,No Risk Indicated
S1347,female,59.5,85.7,4.8,completed,False,False,False,No Risk Indicated
S1348,male,48.4,87.8,3.2,completed,False,False,False,No Risk Indicated
S1349,male,33.2,77.1,0.0,none,True,False,True,Medium Risk
S1350,female,41.1,63.9,5.7,none,False,True,False,No Risk Indicated
S1351,male,50.0,76.0,6.9,none,False,False,False,No Risk Indicated
S1352,male,49.1,71.1,7.0,completed,False,True,False,No Risk Indicated
S1353,male,57.6,67.5,4.7,completed,False,True,False,No Risk Indicated
S1354,female,55.9,99.2,4.1,none,False,False,False,No Risk Indicated
S1355,female,73.8,84.7,6.7,completed,False,False,False,No Risk Indicated
S1356,male,54.3,85.8,7.4,none,False,False,False,No Risk Indicated
S1357,female,52.3,78.9,6.3,none,False,False,False,No Risk Indicated
S1358,male,51.6,80.3,2.1,completed,False,False,True,No Risk Indicated
S1359,female,47.7,91.6,4.4,none,False,False,False,No Risk Indicated
S1360,female,49.2,81.7,4.9,none,False,False,False,No Risk Indicated
S1361,female,52.9,87.3,0.4,none,False,False,True,No Risk Indicated
S1362,male,39.7,80.0,4.9,none,True,False,False,Watch
S1363,female,69.2,78.6,8.5,completed,False,False,False,No Risk Indicated
S1364,male,54.2,67.9,5.3,completed,False,True,False,No Risk Indicated
S1365,female,36.3,62.2,6.9,none,True,True,False,Medium Risk
S1366,male,53.9,79.4,4.4,none,False,False,False,No Risk Indicated
S1367,male,59.8,82.6,3.9,completed,False,False,False,No Risk Indicated
S1368,male,32.1,69.1,4.8,none,True,True,False,Medium Risk
S1369,female,43.8,81.7,2.4,completed,False,False,True,No Risk Indicated
S1370,male,33.5,82.5,2.1,completed,True,False,True,Medium Risk
S1371,female,35.0,60.4,6.5,none,True,True,False,Medium Risk
S1372,male,59.6,72.8,6.7,completed,False,True,False,No Risk Indicated
S1373,male,42.6,86.1,2.0,none,False,False,True,No Risk Indicated
S1374,female,52.1,85.9,5.9,none,False,False,False,No Risk Indicated
S1375,male,41.6,70.5,3.8,none,False,True,False,No Risk Indicated
S1376,female,46.9,83.6,4.7,none,False,False,False,No Risk Indicated
S1377,female,58.8,92.2,4.9,completed,False,False,False,No Risk Indicated
S1378,male,70.3,89.8,6.0,completed,False,False,False,No Risk Indicated
S1379,male,43.8,81.0,4.2,completed,False,False,False,No Risk Indicated
S1380,male,52.7,77.3,6.8,completed,False,False,False,No Risk Indicated
S1381,female,39.8,75.7,4.6,none,True,False,False,Watch
S1382,female,57.0,86.7,5.2,none,False,False,False,No Risk Indicated
S1383,male,61.5,84.0,2.3,completed,False,False,True,No Risk Indicated
S1384,male,66.2,88.3,8.3,completed,False,False,False,No Risk Indicated
S1385,male,57.2,83.3,4.9,none,False,False,False,No Risk Indicated
S1386,male,46.8,90.2,5.4,none,False,False,False,No Risk Indicated
S1387,female,51.4,82.9,0.8,none,False,False,True,No Risk Indicated
S1388,female,41.2,89.8,2.4,none,False,False,True,No Risk Indicated
S1389,male,69.7,90.7,6.5,completed,False,False,False,No Risk Indicated
S1390,female,39.8,74.0,4.6,none,True,True,False,Medium Risk
S1391,male,48.3,63.9,0.2,completed,False,True,True,No Risk Indicated
S1392,male,73.8,97.4,6.1,completed,False,False,False,No Risk Indicated
S1393,female,49.2,84.6,2.9,completed,False,False,True,No Risk Indicated
S1394,female,47.1,64.9,6.8,none,False,True,False,No Risk Indicated
S1395,female,44.0,74.9,3.8,none,False,True,False,No Risk Indicated
S1396,male,70.6,89.7,4.4,completed,False,False,False,No Risk Indicated
S1397,male,55.5,79.2,6.4,completed,False,False,False,No Risk Indicated
S1398,male,41.5,76.9,2.2,none,False,False,True,No Risk Indicated
