student_id,gender,parental_education,lunch,test_preparation,attendance_percentage,study_hours_per_week,math_score,reading_score,writing_score,average_score,grade,attendance_band
S1123,male,high school,free/reduced,none,89.5,2.2,36.8,34.3,47.3,39.5,F,Good (75-89%)
S1124,female,high school,free/reduced,completed,82.6,0.9,47.9,62.8,45.6,52.1,D,Good (75-89%)
S1125,female,some high school,standard,completed,70.8,4.5,46.5,55.3,63.2,55.0,D,Average (60-74%)
S1126,male,bachelor's degree,free/reduced,none,86.1,3.9,37.0,37.7,45.7,40.1,D,Good (75-89%)
S1127,female,some college,free/reduced,none,87.8,3.0,46.7,56.7,51.2,51.5,D,Good (75-89%)
S1128,female,some college,standard,none,82.9,4.2,46.1,47.9,41.0,45.0,D,Good (75-89%)
S1129,female,associate's degree,standard,none,84.2,9.5,63.7,67.9,64.1,65.2,C,Good (75-89%)
S1130,female,some college,standard,none,79.4,5.7,54.2,50.2,47.3,50.6,D,Good (75-89%)
S1131,female,bachelor's degree,standard,none,96.8,6.1,60.3,64.3,64.4,63.0,C,Excellent (90-100%)
S1132,male,associate's degree,standard,completed,73.0,5.7,46.1,53.5,52.5,50.7,D,Average (60-74%)
S1133,female,some college,free/reduced,none,76.1,7.0,45.4,43.3,38.8,42.5,D,Good (75-89%)
S1134,female,some college,free/reduced,none,82.1,3.6,53.0,52.0,56.7,53.9,D,Good (75-89%)
S1135,male,master's degree,standard,none,90.8,0.0,53.4,45.1,42.2,46.9,D,Excellent (90-100%)
S1136,female,associate's degree,free/reduced,none,67.0,3.6,44.6,52.7,39.9,45.7,D,Average (60-74%)
S1137,male,master's degree,standard,none,68.9,5.6,34.6,40.9,36.6,37.4,F,Average (60-74%)
S1138,male,some high school,free/reduced,none,61.6,2.1,22.9,14.0,26.8,21.2,F,Average (60-74%)
S1139,male,bachelor's degree,standard,completed,82.3,3.6,50.6,48.7,44.2,47.8,D,Good (75-89%)
S1140,female,associate's degree,free/reduced,none,70.8,2.6,32.7,47.6,21.8,34.0,F,Average (60-74%)
S1141,male,some high school,free/reduced,completed,78.2,7.0,62.5,68.9,65.8,65.7,C,Good (75-89%)
S1142,male,some college,standard,none,88.6,5.5,55.0,55.3,60.4,56.9,D,Good (75-89%)
S1143,male,associate's degree,standard,none,75.6,5.3,48.6,48.8,43.7,47.0,D,Good (75-89%)
S1144,female,some high school,free/reduced,completed,84.3,5.2,64.0,63.2,60.2,62.5,C,Good (75-89%)
S1145,female,some college,standard,completed,79.0,3.9,64.4,54.0,60.5,59.6,D,Good (75-89%)
S1146,male,bachelor's degree,standard,none,88.7,4.4,48.6,50.1,43.2,47.3,D,Good (75-89%)
S1147,male,high school,free/reduced,none,86.8,1.6,33.0,37.5,31.0,33.8,F,Good (75-89%)
S1148,female,some college,standard,none,75.1,0.0,30.9,33.8,38.3,34.3,F,Good (75-89%)
S1149,male,some college,standard,none,80.3,4.3,48.6,40.2,49.0,45.9,D,Good (75-89%)
S1150,female,high school,standard,none,92.4,4.6,51.4,53.4,50.2,51.7,D,Excellent (90-100%)
S1151,male,bachelor's degree,standard,none,85.9,6.4,47.7,50.0,48.5,48.7,D,Good (75-89%)
S1152,female,associate's degree,free/reduced,none,68.0,7.1,40.7,44.5,51.2,45.5,D,Average (60-74%)
S1153,male,some high school,standard,none,88.6,7.1,48.6,41.8,48.4,46.3,D,Good (75-89%)
S1154,male,master's degree,standard,completed,71.2,2.0,36.7,51.3,49.0,45.7,D,Average (60-74%)
S1155,female,bachelor's degree,standard,completed,96.1,3.3,53.9,47.0,50.5,50.5,D,Excellent (90-100%)
S1156,male,high school,free/reduced,none,92.2,5.0,63.7,81.1,68.1,71.0,C,Excellent (90-100%)
S1157,female,bachelor's degree,standard,none,84.9,9.1,56.7,45.0,41.3,47.7,D,Good (75-89%)
S1158,female,some high school,free/reduced,none,83.6,7.0,37.2,41.1,50.2,42.8,D,Good (75-89%)
S1159,female,master's degree,free/reduced,none,79.9,6.2,51.1,56.5,55.3,54.3,D,Good (75-89%)
S1160,female,associate's degree,free/reduced,completed,88.8,3.2,58.1,72.6,62.6,64.4,C,Good (75-89%)
S1161,female,associate's degree,free/reduced,completed,78.3,2.2,45.6,49.4,46.7,47.2,D,Good (75-89%)
S1162,male,some high school,free/reduced,completed,84.4,5.6,58.2,65.1,65.2,62.8,C,Good (75-89%)
S1163,male,bachelor's degree,free/reduced,completed,90.7,1.8,35.4,40.0,31.9,35.8,F,Excellent (90-100%)
S1164,male,some high school,standard,completed,76.4,3.5,38.2,40.4,42.2,40.3,D,Good (75-89%)
S1165,female,high school,free/reduced,completed,75.8,3.8,32.5,40.9,37.4,36.9,F,Good (75-89%)
S1166,male,some high school,standard,none,70.1,7.2,35.9,31.0,45.0,37.3,F,Average (60-74%)
S1167,male,associate's degree,standard,none,71.4,3.3,42.0,34.2,43.9,40.0,D,Average (60-74%)
S1168,male,high school,free/reduced,none,63.7,0.0,9.8,15.7,2.3,9.3,F,Average (60-74%)
S1169,male,bachelor's degree,free/reduced,none,89.3,5.0,44.0,38.0,35.0,39.0,F,Good (75-89%)
S1170,male,associate's degree,free/reduced,none,100.0,2.6,42.9,48.8,45.4,45.7,D,Excellent (90-100%)
S1171,male,some high school,standard,completed,96.3,4.1,49.7,48.2,51.7,49.9,D,Excellent (90-100%)
S1172,female,some high school,standard,none,65.7,3.8,41.3,42.7,33.6,39.2,F,Average (60-74%)
S1173,female,some high school,standard,none,89.2,3.5,52.1,47.6,58.5,52.7,D,Good (75-89%)
S1174,female,associate's degree,standard,none,96.2,5.6,64.1,69.4,62.3,65.3,C,Excellent (90-100%)
S1175,male,bachelor's degree,standard,none,77.4,0.9,52.1,42.9,42.6,45.9,D,Good (75-89%)
S1176,female,high school,standard,none,83.0,3.0,48.9,57.6,46.7,51.1,D,Good (75-89%)
S1177,male,bachelor's degree,standard,completed,61.9,5.4,48.0,44.4,51.4,47.9,D,Average (60-74%)
S1178,female,some high school,free/reduced,none,84.7,2.8,45.5,46.6,43.2,45.1,D,Good (75-89%)
S1179,female,bachelor's degree,standard,completed,71.4,0.8,44.3,39.0,42.1,41.8,D,Average (60-74%)
S1180,female,bachelor's degree,free/reduced,none,84.0,5.3,45.8,49.5,53.3,49.5,D,Good (75-89%)
S1181,male,associate's degree,standard,none,66.4,6.2,36.2,41.3,33.4,37.0,F,Average (60-74%)
S1182,male,associate's degree,standard,none,87.4,3.9,44.9,42.7,53.2,46.9,D,Good (75-89%)
S1183,female,bachelor's degree,standard,completed,92.2,0.1,38.0,36.7,43.4,39.4,F,Excellent (90-100%)
S1184,male,some high school,standard,completed,74.2,5.4,47.5,49.3,62.2,53.0,D,Average (60-74%)
S1185,male,high school,free/reduced,none,70.6,0.7,26.2,20.5,26.0,24.2,F,Average (60-74%)
S1186,male,some high school,standard,completed,60.4,4.6,36.8,36.1,36.5,36.5,F,Average (60-74%)
S1187,male,some college,standard,none,79.3,2.2,41.0,39.5,29.6,36.7,F,Good (75-89%)
S1188,male,associate's degree,free/reduced,completed,76.2,1.7,37.2,29.3,38.4,35.0,F,Good (75-89%)
S1189,male,associate's degree,free/reduced,none,66.5,3.1,36.3,36.7,42.7,38.6,F,Average (60-74%)
S1190,female,bachelor's degree,standard,none,86.5,3.6,47.6,56.8,44.4,49.6,D,Good (75-89%)
S1191,female,high school,standard,completed,77.5,2.7,34.0,39.5,37.4,37.0,F,Good (75-89%)
S1192,female,associate's degree,standard,none,71.2,5.2,48.2,51.4,42.2,47.3,D,Average (60-74%)
S1193,male,high school,standard,none,76.5,3.1,41.6,41.2,36.8,39.9,F,Good (75-89%)
S1194,female,high school,standard,none,92.7,6.0,52.2,50.4,43.5,48.7,D,Excellent (90-100%)
S1195,male,associate's degree,standard,none,81.7,4.6,53.8,49.3,52.1,51.7,D,Good (75-89%)
S1196,male,master's degree,free/reduced,completed,80.7,2.6,47.6,44.8,53.3,48.6,D,Good (75-89%)
S1197,male,associate's degree,standard,completed,88.2,2.3,41.8,41.1,48.3,43.7,D,Good (75-89%)
S1198,male,some high school,standard,completed,70.4,0.7,34.7,52.5,46.4,44.5,D,Average (60-74%)
S1199,female,associate's degree,standard,none,82.3,4.6,59.4,47.3,51.2,52.6,D,Good (75-89%)
S1200,male,some high school,free/reduced,none,83.5,3.3,50.8,40.0,45.4,45.4,D,Good (75-89%)
S1201,female,bachelor's degree,standard,none,77.3,0.0,31.2,21.1,25.4,25.9,F,Good (75-89%)
S1202,male,associate's degree,free/reduced,none,86.4,2.9,45.7,41.5,39.3,42.2,D,Good (75-89%)
S1203,female,high school,free/reduced,none,81.7,2.2,22.0,41.9,41.4,35.1,F,Good (75-89%)
S1204,male,some high school,standard,completed,87.1,7.2,64.3,88.0,74.1,75.5,B,Good (75-89%)
S1205,male,high school,standard,completed,87.5,0.6,48.2,44.8,50.6,47.9,D,Good (75-89%)
S1206,female,master's degree,standard,completed,52.8,1.1,19.3,12.4,15.5,15.7,F,Low (<60%)
S1207,female,some college,standard,none,93.9,6.2,54.3,48.3,57.2,53.3,D,Excellent (90-100%)
S1208,male,associate's degree,free/reduced,none,51.5,6.7,49.4,51.1,46.7,49.1,D,Low (<60%)
S1209,female,associate's degree,standard,none,75.8,2.5,51.3,48.3,54.8,51.5,D,Good (75-89%)
S1210,male,some college,free/reduced,none,92.3,2.7,60.3,56.1,59.4,58.6,D,Excellent (90-100%)
S1211,female,some high school,standard,none,78.8,5.2,43.6,42.7,42.3,42.9,D,Good (75-89%)
S1212,female,master's degree,standard,none,67.3,0.0,43.4,37.4,41.4,40.7,D,Average (60-74%)
S1213,male,high school,standard,none,71.1,0.3,29.7,29.0,32.5,30.4,F,Average (60-74%)
S1214,female,some college,free/reduced,completed,92.3,3.4,53.1,56.5,61.2,56.9,D,Excellent (90-100%)
S1215,male,associate's degree,free/reduced,none,62.8,7.1,40.6,32.1,29.6,34.1,F,Average (60-74%)
S1216,male,associate's degree,standard,completed,93.3,3.1,47.2,55.5,48.1,50.3,D,Excellent (90-100%)
S1217,male,master's degree,standard,none,81.4,4.2,57.7,42.3,36.2,45.4,D,Good (75-89%)
S1218,male,some high school,free/reduced,none,70.1,6.3,51.2,57.1,55.0,54.4,D,Average (60-74%)
S1219,female,some college,standard,none,76.2,8.2,61.8,63.6,59.0,61.5,C,Good (75-89%)
S1220,male,some college,free/reduced,none,71.8,2.8,40.7,33.6,32.7,35.7,F,Average (60-74%)
S1221,male,some college,standard,none,90.7,4.0,52.2,34.2,39.4,41.9,D,Excellent (90-100%)
S1222,female,some high school,standard,none,89.3,7.6,61.3,53.1,48.0,54.1,D,Good (75-89%)
S1223,male,some high school,standard,completed,64.8,1.0,26.5,28.1,33.1,29.2,F,Average (60-74%)
S1224,female,high school,standard,none,78.0,6.1,62.9,59.1,45.7,55.9,D,Good (75-89%)
S1225,male,high school,standard,none,73.4,2.0,44.3,46.6,46.4,45.8,D,Average (60-74%)
S1226,female,some college,standard,none,94.9,4.2,60.1,64.8,59.7,61.5,C,Excellent (90-100%)
S1227,female,associate's degree,free/reduced,none,68.5,3.5,25.8,36.3,43.0,35.0,F,Average (60-74%)
S1228,female,associate's degree,standard,none,98.0,2.1,35.6,32.0,34.4,34.0,F,Excellent (90-100%)
S1229,male,some college,standard,none,81.7,2.0,28.7,35.8,27.0,30.5,F,Good (75-89%)
S1230,male,some college,standard,completed,70.4,4.6,59.0,61.3,62.3,60.9,C,Average (60-74%)
S1231,female,high school,standard,completed,75.2,6.0,51.6,53.4,45.5,50.2,D,Good (75-89%)
S1232,male,some college,standard,completed,74.0,3.7,54.6,51.9,39.4,48.6,D,Average (60-74%)
S1233,female,high school,standard,none,69.3,4.1,62.3,52.2,52.0,55.5,D,Average (60-74%)
S1234,male,some high school,standard,none,82.9,5.1,58.4,56.2,45.5,53.4,D,Good (75-89%)
S1235,female,some college,standard,completed,69.7,2.1,44.2,39.1,42.8,42.0,D,Average (60-74%)
S1236,female,some college,free/reduced,none,60.2,5.5,34.4,42.2,32.6,36.4,F,Average (60-74%)
S1237,male,high school,standard,none,78.2,5.6,54.5,54.2,47.3,52.0,D,Good (75-89%)
S1238,male,some college,free/reduced,none,64.0,9.2,48.2,52.9,46.5,49.2,D,Average (60-74%)
S1239,female,some college,standard,completed,74.5,3.2,56.0,65.1,60.0,60.4,C,Average (60-74%)
S1240,male,associate's degree,standard,none,72.9,3.1,48.9,32.8,41.7,41.1,D,Average (60-74%)
S1241,female,associate's degree,free/reduced,completed,73.3,5.5,51.2,58.0,64.6,57.9,D,Average (60-74%)
S1242,male,associate's degree,standard,completed,100.0,5.6,71.6,72.9,72.1,72.2,C,Excellent (90-100%)
S1243,female,high school,free/reduced,none,82.6,2.9,26.2,32.7,31.6,30.2,F,Good (75-89%)
S1244,female,associate's degree,standard,completed,84.5,3.2,60.6,69.3,55.5,61.8,C,Good (75-89%)
S1245,male,some college,standard,none,64.2,5.1,50.6,39.1,31.7,40.5,D,Average (60-74%)
S1246,female,some college,free/reduced,none,75.5,2.3,25.3,21.1,24.6,23.7,F,Good (75-89%)
S1247,male,associate's degree,standard,none,84.2,3.2,40.9,31.7,33.7,35.4,F,Good (75-89%)
S1248,female,high school,standard,completed,71.8,4.2,39.3,32.9,55.0,42.4,D,Average (60-74%)
S1249,male,some college,free/reduced,none,91.1,6.0,56.3,55.0,54.2,55.2,D,Excellent (90-100%)
S1250,male,associate's degree,free/reduced,none,70.0,2.8,31.5,43.6,36.4,37.2,F,Average (60-74%)
S1251,male,bachelor's degree,free/reduced,none,79.1,0.3,33.4,33.7,33.0,33.4,F,Good (75-89%)
S1252,male,bachelor's degree,standard,none,76.1,0.2,51.4,42.3,46.3,46.7,D,Good (75-89%)
S1253,male,some college,standard,none,83.6,1.5,35.0,39.0,33.6,35.9,F,Good (75-89%)
S1254,female,some college,free/reduced,none,75.6,1.4,27.3,43.3,35.4,35.3,F,Good (75-89%)
S1255,male,bachelor's degree,standard,none,79.3,3.7,40.8,48.9,50.6,46.8,D,Good (75-89%)
S1256,female,high school,free/reduced,completed,79.6,1.6,31.4,39.4,38.3,36.4,F,Good (75-89%)
S1257,male,bachelor's degree,standard,none,74.7,2.6,43.6,38.5,43.6,41.9,D,Average (60-74%)
S1258,male,some college,standard,completed,86.9,2.5,52.4,37.4,43.9,44.6,D,Good (75-89%)
S1259,female,some high school,free/reduced,none,84.4,3.1,57.6,49.2,52.7,53.2,D,Good (75-89%)
S1260,female,some high school,standard,completed,81.1,6.6,45.8,50.3,53.4,49.8,D,Good (75-89%)
S1261,male,bachelor's degree,standard,none,77.7,5.3,68.1,57.7,71.4,65.7,C,Good (75-89%)
S1262,male,some high school,standard,none,90.0,4.0,55.3,44.5,44.4,48.1,D,Excellent (90-100%)
S1263,female,high school,free/reduced,completed,79.6,3.1,44.7,48.9,57.6,50.4,D,Good (75-89%)
